# Time-averaged data for fix msdout
# TimeStep c_Hmsd[4]
0 7.78419e-29
100 0.433534
200 0.537731
300 0.72552
400 0.734414
500 0.887127
600 0.924149
700 1.22224
800 1.34648
900 1.56567
1000 1.40429
1100 1.49331
1200 1.37179
1300 1.70343
1400 1.85525
1500 1.80449
1600 1.90562
1700 1.94233
1800 2.11915
1900 2.17207
2000 2.10669
2100 2.21583
2200 2.17477
2300 2.27837
2400 2.26821
2500 2.20987
2600 2.40461
2700 2.19676
2800 2.20702
2900 2.23739
3000 2.28774
3100 2.31958
3200 2.2798
3300 2.3962
3400 2.32203
3500 2.27966
3600 2.37697
3700 2.45134
3800 2.54138
3900 2.49837
4000 2.61283
4100 2.57282
4200 2.57319
4300 2.5565
4400 2.7366
4500 2.77015
4600 2.85088
4700 3.04096
4800 3.25362
4900 3.0906
5000 3.0856
5100 2.94792
5200 3.15306
5300 3.38834
5400 3.30971
5500 3.59805
5600 3.67905
5700 3.89746
5800 3.99235
5900 3.90312
6000 4.07458
6100 4.11466
6200 4.47091
6300 4.42931
6400 4.60029
6500 4.73092
6600 4.64291
6700 5.06892
6800 5.12428
6900 5.40052
7000 5.56232
7100 5.64473
7200 5.8556
7300 5.77346
7400 5.72247
7500 5.74214
7600 5.94109
7700 6.20904
7800 6.08824
7900 6.15246
8000 6.14342
8100 6.28845
8200 6.28251
8300 6.33262
8400 6.13737
8500 5.93264
8600 6.26305
8700 6.65014
8800 6.61414
8900 6.94634
9000 6.82633
9100 6.88315
9200 6.74936
9300 6.51771
9400 7.00791
9500 6.77721
9600 6.81585
9700 6.91841
9800 6.87553
9900 7.02632
10000 7.0622
10100 7.28123
10200 7.18283
10300 7.33453
10400 7.67605
10500 7.75534
10600 7.82196
10700 7.95829
10800 7.72926
10900 7.85377
11000 7.79034
11100 7.88741
11200 7.88839
11300 7.89572
11400 8.07722
11500 7.80986
11600 8.26386
11700 8.06882
11800 8.14475
11900 8.08477
12000 8.39454
12100 8.39573
12200 8.2875
12300 8.34599
12400 8.41308
12500 8.63009
12600 8.62
12700 8.82366
12800 8.86242
12900 8.95497
13000 9.24252
13100 9.50194
13200 9.66032
13300 9.53322
13400 9.45675
13500 9.39277
13600 9.51168
13700 9.81368
13800 9.89356
13900 10.0005
14000 9.69841
14100 9.71275
14200 10.1026
14300 10.3139
14400 10.1072
14500 10.5972
14600 10.3393
14700 10.2544
14800 10.2329
14900 10.3205
15000 10.2283
15100 10.2915
15200 10.5414
15300 10.8313
15400 10.7109
15500 11.2398
15600 11.1422
15700 11.307
15800 11.913
15900 11.5921
16000 11.8004
16100 11.6738
16200 11.6663
16300 11.9768
16400 11.677
16500 11.6222
16600 11.7
16700 11.9293
16800 11.8419
16900 12.0182
17000 11.811
17100 11.6924
17200 11.9371
17300 11.6214
17400 12.1308
17500 11.8983
17600 12.0104
17700 12.1555
17800 12.2306
17900 12.0467
18000 12.1535
18100 12.498
18200 12.3041
18300 12.6125
18400 12.2093
18500 12.659
