# Time-averaged data for fix msdout
# TimeStep c_Hmsd[4]
0 9.92384e-29
100 0.547739
200 0.931809
300 1.25827
400 1.51042
500 1.47737
600 1.65102
700 1.82349
800 1.84899
900 2.40554
1000 2.60491
1100 3.21107
1200 3.10908
1300 3.25034
1400 3.14222
1500 3.34553
1600 3.64198
1700 3.43498
1800 3.73609
1900 3.765
2000 4.01626
2100 4.28489
2200 4.53754
2300 4.78781
2400 5.06374
2500 4.91207
2600 4.89518
2700 4.75949
2800 4.68683
2900 4.76785
3000 4.89441
3100 4.73474
3200 4.98819
3300 5.24799
3400 5.3716
3500 5.48953
3600 5.71703
3700 5.55788
3800 5.72403
3900 6.29323
4000 6.82126
4100 7.74612
4200 7.52269
4300 7.85432
4400 7.97789
4500 7.69273
4600 8.27489
4700 8.41066
4800 8.72804
4900 9.0609
5000 9.40879
5100 9.22103
5200 9.61841
5300 9.7481
5400 9.88679
5500 9.98048
5600 10.3211
5700 10.7392
5800 10.6697
5900 11.0192
6000 11.2301
6100 11.7524
6200 11.5816
6300 11.4206
6400 11.6869
6500 11.8078
6600 12.6473
6700 12.4811
6800 13.2343
6900 13.1581
7000 12.6097
7100 12.8757
7200 13.1347
7300 13.9479
7400 14.0918
7500 14.3883
7600 14.029
7700 14.3823
7800 14.2998
7900 14.5747
8000 14.3093
8100 14.3152
8200 14.3173
8300 14.3179
8400 14.2807
8500 13.9734
8600 14.2109
8700 14.3135
8800 14.0569
8900 14.9001
9000 15.2096
9100 15.9228
9200 15.437
9300 15.7993
9400 15.7821
9500 15.897
9600 16.9496
9700 17.2106
9800 17.7311
9900 17.7558
10000 17.7211
10100 17.9298
10200 17.309
10300 17.4228
10400 18.2498
10500 18.7002
10600 19.1639
10700 19.2958
10800 19.5077
10900 20.3192
11000 20.6226
11100 20.8944
11200 20.3483
11300 20.7618
11400 21.1186
11500 20.9809
11600 21.5364
11700 21.3035
11800 21.1197
11900 21.1772
12000 21.4754
12100 21.5576
12200 22.6672
12300 22.4268
12400 23.2488
12500 22.8689
12600 23.6878
12700 23.9398
12800 24.3494
12900 24.6668
13000 25.2495
13100 24.8033
13200 25.1327
13300 24.9175
13400 25.2861
13500 25.3037
13600 24.9101
13700 25.2865
13800 26.6238
13900 26.4993
14000 26.2543
14100 27.3642
14200 26.7826
14300 26.3184
14400 26.3335
14500 27.0257
14600 27.0579
14700 27.4879
14800 27.7998
14900 28.6463
15000 29.1316
15100 29.5682
15200 30.2576
15300 30.8595
15400 31.9022
15500 32.1142
15600 32.0437
15700 32.7226
15800 32.2332
15900 32.3468
16000 32.5317
16100 32.7584
16200 33.3053
16300 32.7678
16400 33.2102
16500 32.7987
16600 33.1097
16700 33.7369
16800 33.4715
16900 34.1515
17000 33.8995
17100 34.0564
17200 34.233
17300 34.345
17400 34.4323
17500 34.7195
17600 34.9723
17700 34.649
17800 34.6031
17900 34.8755
18000 34.3095
18100 34.51
18200 34.6709
18300 35.1419
18400 34.9185
18500 34.9398
18600 35.5518
18700 35.7867
18800 35.9905
18900 35.8057
19000 36.0114
19100 35.7996
19200 36.2873
19300 36.4454
19400 37.1915
19500 37.3806
19600 37.4764
19700 37.8109
19800 37.6467
19900 36.8489
20000 38.0071
20100 36.6149
20200 37.6971
20300 38.1037
20400 38.2189
20500 38.3997
20600 38.5542
20700 38.5978
20800 38.6503
20900 39.122
21000 39.5425
21100 38.6039
21200 38.7252
21300 39.2406
21400 39.9978
21500 39.9495
21600 40.2487
21700 40.9423
21800 40.8314
21900 40.9657
22000 41.9737
22100 41.533
22200 42.0333
22300 42.3759
22400 42.1665
22500 42.7949
22600 44.1124
22700 43.6061
22800 44.726
22900 44.9498
23000 44.7319
23100 46.3124
23200 46.2235
23300 46.1113
23400 46.506
23500 46.8359
23600 46.5864
23700 47.4476
23800 48.0847
23900 47.7924
24000 47.505
24100 47.2052
24200 47.7366
24300 47.7008
24400 48.0512
24500 47.9697
24600 48.0834
24700 48.9944
24800 49.6042
24900 48.9934
25000 50.5111
25100 50.3544
25200 51.0812
25300 50.9458
25400 50.1708
25500 50.2975
25600 50.2151
25700 51.422
25800 50.7568
25900 50.4714
26000 50.121
26100 50.4757
26200 50.6827
26300 49.4972
26400 49.5295
26500 49.8227
26600 50.2988
26700 50.126
26800 50.406
26900 50.4342
27000 50.6535
27100 50.3579
27200 50.8641
27300 51.3974
27400 51.1168
27500 52.0822
27600 51.9612
27700 51.4089
27800 51.6589
27900 51.8073
28000 52.1285
28100 52.7206
28200 52.6284
28300 52.9122
28400 52.6758
28500 52.2065
28600 51.4041
28700 52.4748
28800 52.6417
28900 52.6411
29000 52.4035
29100 52.1316
29200 52.1648
29300 52.7146
29400 52.2199
29500 52.612
29600 52.23
29700 53.261
29800 53.771
29900 54.1953
30000 53.4994
30100 52.9136
30200 52.535
30300 53.0627
30400 52.8317
30500 52.3267
30600 53.6683
30700 53.066
30800 54.2087
30900 54.6488
31000 54.8692
31100 54.5803
31200 55.0498
31300 55.7298
31400 55.3039
31500 57.1421
31600 58.2843
31700 58.7461
31800 57.9683
31900 58.0646
32000 58.323
32100 58.03
32200 57.3253
32300 57.1691
32400 57.3423
32500 57.1652
32600 56.3947
32700 55.6055
32800 55.6371
32900 55.6421
33000 56.1581
33100 56.9791
33200 57.1161
33300 57.9909
33400 57.6362
33500 58.7358
33600 57.8058
33700 57.5243
33800 57.6692
33900 57.6972
34000 57.7721
34100 57.0253
34200 57.9829
34300 57.859
34400 58.9149
34500 58.3867
34600 58.6151
34700 58.7571
34800 59.193
34900 58.9502
35000 59.0842
35100 59.5107
35200 59.1681
35300 59.5585
35400 59.2348
35500 60.0011
35600 59.5732
35700 60.4089
35800 59.3007
35900 58.7432
36000 59.4499
36100 59.7325
36200 61.1945
36300 61.148
36400 61.0271
36500 60.6996
36600 61.5251
36700 62.2336
36800 61.5797
36900 61.9732
37000 60.7435
37100 61.2021
37200 62.1272
37300 62.1882
37400 62.0219
37500 62.2291
37600 62.8014
37700 62.4489
37800 62.3964
37900 63.0945
38000 61.4962
38100 62.1332
38200 62.3632
38300 63.0183
38400 62.9652
38500 63.049
38600 62.5056
38700 63.2926
38800 64.0109
38900 63.8243
39000 63.4474
39100 63.7877
39200 63.4354
39300 63.6537
39400 63.3876
39500 62.9297
39600 62.7709
39700 63.5177
39800 64.4068
39900 63.6821
40000 63.4884
40100 63.6089
40200 64.7485
40300 64.3908
40400 64.5484
40500 64.5338
40600 64.823
40700 64.6782
40800 65.2566
40900 64.8764
41000 64.4768
41100 64.594
41200 65.3487
41300 64.5958
41400 64.4508
41500 64.7586
41600 64.7577
41700 64.9361
41800 64.1912
41900 64.9475
42000 64.4502
42100 64.849
42200 65.7785
42300 65.4743
42400 64.2788
42500 64.5497
42600 64.6097
42700 65.3322
42800 65.6587
42900 65.9793
43000 66.8443
43100 65.7551
43200 66.2524
43300 65.9942
43400 66.2124
43500 65.8677
43600 65.699
43700 65.6727
43800 64.8632
43900 64.5242
44000 64.8628
44100 64.9285
44200 65.068
44300 64.9921
